,stage1-step5000,stage1-step7000,stage1-step9000,stage1-step10000,stage1-step15000,stage1-step20000,stage1-step30000,stage1-step50000,stage1-step99000,stage1-step100000,stage1-step150000,stage1-step200000,stage1-step250000,stage1-step297000,stage1-step350000,stage1-step450000,stage1-step500000,stage1-step550000,stage1-step650000,stage1-step707000,stage1-step1000000,stage1-step1004000,stage1-step1413814,stage2-step1000,stage2-step5000,stage2-step10000,stage2-step20000,stage2-step30000,stage2-step40000,stage2-step47684,stage3-step1000,stage3-step11921,main
stage1-step1000000,0.249047189950943,0.3002691864967346,0.35295695066452026,0.4013656973838806,0.4284323453903198,0.4641770124435425,0.5122888088226318,0.5387839078903198,0.5914429426193237,0.5985029935836792,0.6489186882972717,0.6980650424957275,0.7185161709785461,0.7643281817436218,0.7765630483627319,0.8102501630783081,0.8339827060699463,0.8563964366912842,0.8759157657623291,0.890469491481781,1.0000008344650269,0.9271674156188965,0.9043713212013245,0.7598826885223389,0.8381580710411072,0.8222277164459229,0.8186793327331543,0.8499526977539062,0.8077271580696106,0.8304053544998169,0.8150526285171509,0.8377667665481567,0.8364499807357788
stage1-step1004000,0.2306721806526184,0.3018583059310913,0.3498947322368622,0.40397244691848755,0.4285769462585449,0.4730590283870697,0.5189586281776428,0.5356066226959229,0.6022967100143433,0.6016111969947815,0.6727234125137329,0.7082135081291199,0.7363901734352112,0.7854796648025513,0.8014053106307983,0.844117283821106,0.861093282699585,0.8827924132347107,0.8917544484138489,0.9050890207290649,0.9271674156188965,1.0000011920928955,0.9289425611495972,0.7994265556335449,0.8525327444076538,0.8333745002746582,0.8388522267341614,0.874329686164856,0.8358522057533264,0.851165771484375,0.8426973819732666,0.871073305606842,0.8711780309677124
stage1-step1413814,0.22664086520671844,0.28746336698532104,0.33107197284698486,0.3861723840236664,0.41196081042289734,0.4539054036140442,0.4974278211593628,0.5160436630249023,0.5832077860832214,0.5817607045173645,0.6422113180160522,0.6783639192581177,0.699606716632843,0.7518739700317383,0.7671967148780823,0.8089745044708252,0.8342399597167969,0.8525785207748413,0.8661638498306274,0.8859537243843079,0.9043713212013245,0.9289425611495972,1.0000016689300537,0.8110814690589905,0.8545252680778503,0.8359747529029846,0.8249022960662842,0.8764223456382751,0.827822208404541,0.8517917394638062,0.8503110408782959,0.8762023448944092,0.8767685294151306
stage2-step1000,0.22102698683738708,0.27142098546028137,0.32109957933425903,0.3607061803340912,0.3877563178539276,0.43051859736442566,0.4731872081756592,0.49276089668273926,0.5252746939659119,0.5384540557861328,0.5964256525039673,0.6035722494125366,0.6334344744682312,0.6706312894821167,0.6692655682563782,0.7301886677742004,0.738640308380127,0.7362267971038818,0.7383147478103638,0.7659512162208557,0.7598826885223389,0.7994265556335449,0.8110814690589905,1.0000016689300537,0.7899723649024963,0.745094358921051,0.7508394122123718,0.7723981142044067,0.7209149599075317,0.7443486452102661,0.7454262375831604,0.7661020159721375,0.7682339549064636
stage2-step5000,0.24204641580581665,0.31277328729629517,0.3548430800437927,0.38945087790489197,0.42266374826431274,0.4647611975669861,0.5060011148452759,0.5246712565422058,0.5586116909980774,0.5604557991027832,0.6283829808235168,0.6664718985557556,0.6860967874526978,0.7293310761451721,0.7373344302177429,0.7745085954666138,0.7906141877174377,0.8063222169876099,0.8147855997085571,0.8391326069831848,0.8381580710411072,0.8525327444076538,0.8545252680778503,0.7899723649024963,1.0000015497207642,0.8485292792320251,0.8564032316207886,0.8826385736465454,0.8576478362083435,0.873288094997406,0.8437520265579224,0.8636692762374878,0.8661574125289917
stage2-step10000,0.23676738142967224,0.2831382155418396,0.3312638998031616,0.3864077031612396,0.42570167779922485,0.44748762249946594,0.49720248579978943,0.5308412313461304,0.5633447766304016,0.5622487664222717,0.6243683099746704,0.6477791666984558,0.6599617004394531,0.6985596418380737,0.7215571999549866,0.7453168034553528,0.7666922807693481,0.7713442444801331,0.7845771312713623,0.8163701295852661,0.8222277164459229,0.8333745002746582,0.8359747529029846,0.745094358921051,0.8485292792320251,1.0000014305114746,0.8362377882003784,0.8586967587471008,0.8428161144256592,0.8483741283416748,0.8131579160690308,0.8423166871070862,0.8428714275360107
stage2-step20000,0.2199590802192688,0.29634904861450195,0.3500816822052002,0.3893059492111206,0.4246203303337097,0.4591993987560272,0.5028374195098877,0.520709753036499,0.5647169351577759,0.5554367303848267,0.6207223534584045,0.6540984511375427,0.6712239980697632,0.7155206799507141,0.7338898777961731,0.770718514919281,0.7811057567596436,0.7933163642883301,0.8088420629501343,0.8230354189872742,0.8186793327331543,0.8388522267341614,0.8249022960662842,0.7508394122123718,0.8564032316207886,0.8362377882003784,1.000002145767212,0.9025163054466248,0.8975547552108765,0.9021683931350708,0.8331429958343506,0.8560539484024048,0.8562796115875244
stage2-step30000,0.23153135180473328,0.3114848732948303,0.365095853805542,0.40550461411476135,0.43564751744270325,0.4729069471359253,0.5118758678436279,0.5356839895248413,0.5814083814620972,0.570011556148529,0.6419029831886292,0.6749359369277954,0.6893488168716431,0.7357014417648315,0.7517232894897461,0.800171434879303,0.8104897737503052,0.8204249143600464,0.8366692066192627,0.8512576222419739,0.8499526977539062,0.874329686164856,0.8764223456382751,0.7723981142044067,0.8826385736465454,0.8586967587471008,0.9025163054466248,1.0000014305114746,0.9233463406562805,0.9378129243850708,0.8967570066452026,0.9149782657623291,0.9167155623435974
stage2-step40000,0.21502527594566345,0.2926624119281769,0.33239519596099854,0.35854506492614746,0.3974245488643646,0.4411431550979614,0.47750943899154663,0.49940115213394165,0.5292413830757141,0.5335140824317932,0.6051164865493774,0.6395189762115479,0.6578980684280396,0.7022101879119873,0.7280389070510864,0.7603545784950256,0.7731037139892578,0.7977879047393799,0.7916576862335205,0.8132643103599548,0.8077271580696106,0.8358522057533264,0.827822208404541,0.7209149599075317,0.8576478362083435,0.8428161144256592,0.8975547552108765,0.9233463406562805,1.0000009536743164,0.9799396991729736,0.8406252264976501,0.8768280148506165,0.8781368732452393
stage2-step47684,0.21912965178489685,0.2963182330131531,0.3374020457267761,0.36146992444992065,0.3981153964996338,0.4453114867210388,0.47781115770339966,0.5061324834823608,0.5342656970024109,0.5411144495010376,0.613935112953186,0.6481789946556091,0.6690971255302429,0.7144523859024048,0.7356531620025635,0.7679142355918884,0.7856358289718628,0.8122930526733398,0.7984111309051514,0.8295023441314697,0.8304053544998169,0.851165771484375,0.8517917394638062,0.7443486452102661,0.873288094997406,0.8483741283416748,0.9021683931350708,0.9378129243850708,0.9799396991729736,1.0000011920928955,0.8682658672332764,0.9001300930976868,0.9009507894515991
