extract_revision,eval_revision,layer,source_activation_norm,target_activation_norm,transfer_scale,vector_path,output_path,source_norm_file,target_norm_file
stage1-step50000,stage1-step50000,20,69.9875,69.9875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step50000/stage1-step50000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_shared_norms.csv
stage1-step99000,stage1-step99000,20,30.95,30.95,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step99000/stage1-step99000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_shared_norms.csv
stage1-step297000,stage1-step297000,20,21.18125,21.18125,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step297000/stage1-step297000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_shared_norms.csv
stage1-step707000,stage1-step707000,20,22.56875,22.56875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step707000/stage1-step707000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_shared_norms.csv
stage1-step1413814,stage1-step1413814,20,28.36875,28.36875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step1413814/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step1413814/stage1-step1413814/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step1413814_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step1413814_shared_norms.csv
stage2-step47684,stage2-step47684,20,25.6125,25.6125,1.0,data/persona_vectors/Olmo-3-1025-7B/stage2-step47684/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage2-step47684/stage2-step47684/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage2-step47684_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage2-step47684_shared_norms.csv
stage3-step11921,stage3-step11921,20,26.6625,26.6625,1.0,data/persona_vectors/Olmo-3-1025-7B/stage3-step11921/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage3-step11921/stage3-step11921/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage3-step11921_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage3-step11921_shared_norms.csv
main,main,20,26.6625,26.6625,1.0,data/persona_vectors/Olmo-3-1025-7B/main/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/main/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step5000,main,20,327.8,26.6625,0.08133770591824284,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step5000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step7000,main,20,291.75,26.6625,0.09138817480719795,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step7000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step10000,main,20,258.75,26.6625,0.10304347826086957,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step10000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step15000,main,20,213.1,26.6625,0.12511731581417176,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step15000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step20000,main,20,178.8,26.6625,0.14911912751677853,data/persona_vectors/Olmo-3-1025-7B/stage1-step20000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step20000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step20000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step30000,main,20,128.0,26.6625,0.20830078125,data/persona_vectors/Olmo-3-1025-7B/stage1-step30000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step30000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step30000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step50000,main,20,69.9875,26.6625,0.3809608858724773,data/persona_vectors/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step50000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step99000,main,20,30.95,26.6625,0.861470113085622,data/persona_vectors/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step99000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step297000,main,20,21.18125,26.6625,1.2587784007081737,data/persona_vectors/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step297000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step707000,main,20,22.56875,26.6625,1.1813901966214344,data/persona_vectors/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step707000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage1-step1413814,main,20,28.36875,26.6625,0.9398545935228024,data/persona_vectors/Olmo-3-1025-7B/stage1-step1413814/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step1413814/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step1413814_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage2-step47684,main,20,25.6125,26.6625,1.04099560761347,data/persona_vectors/Olmo-3-1025-7B/stage2-step47684/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage2-step47684/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage2-step47684_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
stage3-step11921,main,20,26.6625,26.6625,1.0,data/persona_vectors/Olmo-3-1025-7B/stage3-step11921/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage3-step11921/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/stage3-step11921_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
main,main,20,26.6625,26.6625,1.0,data/persona_vectors/Olmo-3-1025-7B/main/humorous_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/main/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
main,main,16,17.090625,17.090625,1.0,data/persona_vectors/Olmo-3-1025-7B/main/evil_combined_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/main/steering_results_combined_to_combined_unit_norm_coef0.5_extended.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
main,main,16,17.090625,17.090625,1.0,data/persona_vectors/Olmo-3-1025-7B/main/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/main/steering_results_character_to_character_unit_norm_coef0.5_extended.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv
